order_id,1,2,3,process_type,5,plan_released_by,7,task_name,9,10,order_issued_date,11,12,13
NCCM_26300,23-01-2014 15:37,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,10-06-2014 12:21,,,
NCCM_30842,18-07-2014 19:13,NORMAL,IN PROGRESS,BTNCCM,5,kkhandek,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,18-07-2014 19:23,,,
NCCM_31739,13-08-2014 21:15,NORMAL,IN PROGRESS,BTNCCM,5,sadvitot,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,13-08-2014 21:21,,,
NCCM_31887,20-08-2014 12:24,NORMAL,IN PROGRESS,BTNCCM,5,sadvitot,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,20-08-2014 12:33,,,
NCCM_32232,02-09-2014 11:34,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,02-09-2014 11:36,,,
NCCM_32310,06-09-2014 16:47,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-09-2014 16:51,,,
NCCM_32878,29-09-2014 20:12,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,29-09-2014 20:21,,,
NCCM_33008,06-10-2014 13:46,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-10-2014 13:57,,,
NCCM_33099,08-10-2014 19:32,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,08-10-2014 19:52,,,
NCCM_33152,10-10-2014 15:07,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,10-10-2014 15:16,,,
