SrNo,nims_id,CRAMMER_NAME,circuit_action_type,tiger_id,customer_name,service_type,VIZNET_ID_,provisioner_name,order_issued_date
1,AJHX-P44X 1G0001,PUNE/AJHX/METGM/IND*PUNE/P44X/SANCH/IND 1G0001,Provide,818788,26819 - METRO SYSTEMS GMBH,GLOBETH,,PPRABHUD,18-03-2016 08:59:05
2,6I2X-N99X SPVLAN0001,NYKC/N99X/SANCH/USA*NYKC/6I2X/INTGB/USA SPVLAN0001,Reroute,817964,7330 - SERCO BPO PRIVATE LIMITED,GSM,,MNIBRAD,09-03-2016 06:41:50
3,SVWX-SVWX TUG3S1C1101SONUS,SING/SVWX/VSNLS/SGP*SING/SVWX/VSNLS/SGP VC3S0119,Provide,812616,7139 - TATA COMMUNICATIONS LANKA LIMITED,VTSPREM,,PMORASAK,15-02-2016 12:01:28
4,SVWX-V6SX 30N007,CMBO/V6SX/VSNLK/SLK*SING/SVWX/VSNLS/SGP 30N0007,Provide,812616,7139 - TATA COMMUNICATIONS LANKA LIMITED,VTSPREM,,PMORASAK,15-02-2016 12:04:38
5,SVWX-V6SX 30N006,CMBO/V6SX/VSNLK/SLK*SING/SVWX/VSNLS/SGP 30N0006,Provide,812616,7139 - TATA COMMUNICATIONS LANKA LIMITED,VTSPREM,,PMORASAK,15-02-2016 12:04:34
6,HW1X-L78X SPVLAN0041,HWCX/HW1X/TGBUK/GBR*LNDN/L78X/TGBUK/GBR SPVLAN0041,Provide,818887,20848 - TATA COMMUNICATIONS LIMITED,*N/A*,,AVIPATIL,17-03-2016 08:10:14
7,2SXX-TTTX 30N002,SNTG/2SXX/ENTCH/CHL*SCRB/TTTX/TGB/CAN 30N0002,Reroute,804351,232 - ENTEL CHILE-EMPRESA NACIONAL DE TELECOMUNICA,VTS,,PMORASAK,14-03-2016 15:04:46
8,2SXX-TTTX 30N001,SNTG/2SXX/ENTCH/CHL*SCRB/TTTX/TGB/CAN 30N0001,Cancel,804622,232 - ENTEL CHILE-EMPRESA NACIONAL DE TELECOMUNICA,VTS,,RCHAKRAD,25-11-2015 11:55:43
9,8RRX-XNLX N0001,LAGS/XNLX/TGBUK/NGA*LAGS/8RRX/ETSLT/NGA SPVLAN0001,Provide,813480,351 - EMIRATES TELECOMMUNICATIONS CORPORATION. (ET,GSM,,NTHENGAD,14-03-2016 05:05:18
10,AV3X-L90X OF005,AICX/AV3X/VSNLJ/JPN*LOSA/L90X/TGBUS/USA OMS0003,Cancel,758824,10677 - TATA COMMUNICATIONS (AMERICA) INC.,*N/A*,,AVIPATIL,25-02-2015 08:25:31
11,9M7X-LDNX 64S003_MainOne,LNDN/9M7X/MAONE/GBR*LNDN/LDNX/TGBUK/GBR 64S0003,Reroute,793335,24275 - MAIN ONE CABLE COMPANY LIMITED,GSM,,AKARMUR,08-03-2016 15:10:02
