tiger_id,viznetM6id,gam_id,mrc_converted,nrc_converted,program_manager,evolve_status,customer_name,provisioner_name,service_type,inbasket_date
818788,,818788,,,,,26819 - METRO SYSTEMS GMBH,PPRABHUD,GLOBETH,18-03-2016 08:59:05
817964,,817964,100,100,fasdf,Commissioned,7330 - SERCO BPO PRIVATE LIMITED,MNIBRAD,GSM,09-03-2016 06:41:50
812616,,812616,,,,,7139 - TATA COMMUNICATIONS LANKA LIMITED,PMORASAK,VTSPREM,15-02-2016 12:01:28
812616,,812616,,,,,7139 - TATA COMMUNICATIONS LANKA LIMITED,PMORASAK,VTSPREM,15-02-2016 12:04:38
812616,,812616,,,,,7139 - TATA COMMUNICATIONS LANKA LIMITED,PMORASAK,VTSPREM,15-02-2016 12:04:34
818887,,818887,,,,,20848 - TATA COMMUNICATIONS LIMITED,AVIPATIL,*N/A*,17-03-2016 08:10:14
804351,,804351,,,,,232 - ENTEL CHILE-EMPRESA NACIONAL DE TELECOMUNICA,PMORASAK,VTS,14-03-2016 15:04:46
804622,,804622,,,,,232 - ENTEL CHILE-EMPRESA NACIONAL DE TELECOMUNICA,RCHAKRAD,VTS,25-11-2015 11:55:43
813480,,813480,,,,,351 - EMIRATES TELECOMMUNICATIONS CORPORATION. (ET,NTHENGAD,GSM,14-03-2016 05:05:18
758824,,758824,,,,,10677 - TATA COMMUNICATIONS (AMERICA) INC.,AVIPATIL,*N/A*,25-02-2015 08:25:31
793335,,793335,,,,,24275 - MAIN ONE CABLE COMPANY LIMITED,AKARMUR,GSM,08-03-2016 15:10:02
804110,,804110,,,,,616 - TELEKOM MALAYSIA BERHAD,ROVARADE,VTS,10-02-2016 07:40:17
804110,,804110,,,,,616 - TELEKOM MALAYSIA BERHAD,ROVARADE,VTS,10-02-2016 07:39:10
804110,,804110,,,,,616 - TELEKOM MALAYSIA BERHAD,ROVARADE,VTS,10-02-2016 07:38:43
818831,,818831,,,,,7059 - SOFTBANK CORP.,AKARMUR,GLOBETH,11-03-2016 12:00:02
787166,,787166,,,,,1745 - ROGERS TELECOM (US) INC,AMRITJAD,VTS,28-09-2015 09:52:19
787166,,787166,,,,,1745 - ROGERS TELECOM (US) INC,AMRITJAD,VTS,28-09-2015 10:03:57
787166,,787166,,,,,1745 - ROGERS TELECOM (US) INC,AMRITJAD,VTS,28-09-2015 09:56:54
762954,,762954,,,,,24098 - JAGUAR LAND ROVER LIMITED,RKELUSKA,GSM,27-10-2015 10:04:48
812252,,812252,,,,,24098 - JAGUAR LAND ROVER LIMITED,MNIBRAD,GSM,21-01-2016 13:14:34
806851,,806851,,,,,24098 - JAGUAR LAND ROVER LIMITED,PAVATADE,GSM,17-02-2016 08:29:03
737935,,737935,,,,,21131 - DISHNET WIRELESS,YMANVE,GSM,24-07-2014 15:08:37
816858,,816858,,,,,18713 - NII HOLDINGS INC.,PMORASAK,VTS,18-03-2016 11:26:48
796114,,796114,,,,,23344 - IDEA CELLULAR LIMITED,SANDEEPJ,GSM,11-02-2016 06:05:49
790644,,790644,,,,,23565 - U MOBILE SDN BHD ,ANVERMA,VTS,05-12-2015 12:42:27
816069,,816069,,,,,19240 - LEASEWEB NETWORK B.V.,RNISTANE,INET,21-03-2016 06:29:41
813798,,813798,,,,,25269 - ITC INFOTECH INDIA LIMITED,RNISTANE,GSM,06-02-2016 10:21:46
817446,,817446,,,,,20744 - TATA COMMUNICATIONS (JAPAN) K.K.,KKHADE,*N/A*,18-03-2016 09:24:46
817446,,817446,,,,,20744 - TATA COMMUNICATIONS (JAPAN) K.K.,KKHADE,*N/A*,18-03-2016 09:24:06
800001,,800001,,,,,18504 - IDEA CELLULAR LIMITED,ANVERMA,VTS,05-12-2015 12:38:57
800001,,800001,,,,,18504 - IDEA CELLULAR LIMITED,ANVERMA,VTS,05-12-2015 12:38:43
800001,,800001,,,,,18504 - IDEA CELLULAR LIMITED,ANVERMA,VTS,05-12-2015 12:43:05
800001,,800001,,,,,18504 - IDEA CELLULAR LIMITED,ANVERMA,VTS,05-12-2015 12:40:35
800001,,800001,,,,,18504 - IDEA CELLULAR LIMITED,ANVERMA,VTS,05-12-2015 12:52:34
800001,,800001,,,,,18504 - IDEA CELLULAR LIMITED,ANVERMA,VTS,05-12-2015 12:52:19
800001,,800001,,,,,18504 - IDEA CELLULAR LIMITED,ANVERMA,VTS,05-12-2015 12:47:26
810325,,810325,,,,,"18595 - VERISIGN, INC.",RCHAKRAD,VTS,21-03-2016 09:29:30
798866,,798866,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,17-12-2015 14:58:19
804397,,804397,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,27-02-2016 11:41:54
