SrNo,NIMS_ID,k,tigerid,OPERATI+E:MONAL_CUSTOMER_REPC,REPC_SERVICE_ABBR,CIRCUIT_ISSUE_DATE,,pending_with,reason_of_pending,CRFS date,Config date,Pending,Assigned,testing date,TAT for testing
1312,12MX-LDNX 64S002,Reroute,786362,24275 - MAIN ONE CABLE COMPANY LIMITED,IRU,7/3/2015 2:30:18 PM,AKARMUR,PM,DT awaited,,10 Jan 16,Complete,Rahul,,
1313,H99X-H99X SPVLAN0021,Provide,782641,32878 - COMMERZBANK AG,GLOBETH,7/8/2015 1:53:17 PM,PPRABHUD,SDCNOC,"CNID, MNID config pending",,,Pending,Harendra,,
1314,NTOX-YW3X OMS0001,Reroute,789941,20399 - TATA COMMUNICATIONS (US) INC.,*N/A*,7/17/2015 8:16:51 AM,KKHADE,PM,,,,Complete,Omkar,1x10G migration pending as cust did not confirm status,
1315,N25X-NW8X 10G001,Cancel,787666,23424 - QWEST NETHERLANDS BV,GSM,7/25/2015 2:26:38 PM,SUDMISHR,PM,CRFS awaited,30 Sep 15,7 Oct 15,Complete,Saurabh.A,,
1316,L78X-L78X SPVLAN0149,Provide,789521,35104 - CONCENTRIX DAKSH SERVICES INDIA PRIVATE LI,GLOBETH,7/27/2015 9:41:21 AM,PPRABHUD,BOP,,,,Complete,Amol,,
1317,0DUX-DDWX SPVLAN0002,Cancel,790568,26910 - OPEN FUTURES DERIVATIVES PRIVATE LIMITED,GLOBETH,7/30/2015 8:48:03 AM,SUDMISHR,BOP,CLR not openning,,,Pending,Shashank,DOT:30 Sept 2015 ,
1318,L78X-XMTX VC4S002,Cancel,788296,2563 - MINISTRY OF COMMUNICATION OF TURKMENISTAN,INET,7/31/2015 2:10:23 PM,PRATVAID,BOP,,,,Complete,Rohan,,
1319,6X4X-EGCX VC4S0049,Cancel,789865,27759 - WEST INDIAN OCEAN CABLE COMPANY (WIOCC),GSM,8/3/2015 10:36:16 AM,SAUJAIN,BOP,,,,Pending,Omkar,"DOT:5 Aug 2015, // cramer not opening mailed to BOP/IT",
1320,LVWX-TV2X 10G010,Provide,743630,25062 - TATA - BB IP6453,*N/A*,8/4/2015 7:00:24 AM,ASATPUTE,BOP,,,6 Aug 15,Pending,Saurabh.A,,
1321,LVWX-UN0X 10G001,Provide,777171,25062 - TATA - BB IP6453,*N/A*,8/4/2015 9:44:21 AM,ASATPUTE,BOP,,,7 Aug 15,Complete,Saurabh.A,,
1322,LHXX-X3XX 30N0001,Provide,787679,11021 - SWIFTNET LTD,VTSPREM,8/7/15 7:08 AM,RCHAKRAD,BOP,Customer is not ready ,,,Pending,Abhilasha,,
1323,LHXX-X3XX 30N0002,Provide,787679,11021 - SWIFTNET LTD,VTSPREM,8/7/15 7:32 AM,RCHAKRAD,BOP,Customer is not ready ,,,Pending,Abhilasha,,
1324,LHXX-X3XX 30N0003,Provide,787679,11021 - SWIFTNET LTD,VTSPREM,8/7/15 7:32 AM,RCHAKRAD,BOP,Customer is not ready ,,,Pending,Abhilasha,,
1325,LHXX-X3XX 30N0004,Provide,787679,11021 - SWIFTNET LTD,VTSPREM,8/7/15 7:32 AM,RCHAKRAD,BOP,Customer is not ready ,,,Pending,Abhilasha,,
1326,L9SX-LHXX 30N011,Cancel,787679,11021 - SWIFTNET LTD,VTSPREM,8/7/15 7:32 AM,RCHAKRAD,BOP,Customer is not ready ,,,Pending,Abhilasha,,
1327,L9SX-LHXX 30N013,Cancel,787679,11021 - SWIFTNET LTD,VTSPREM,8/7/15 7:33 AM,RCHAKRAD,BOP,Customer is not ready ,,,Pending,Abhilasha,,
1328,L9SX-LHXX 30N012,Cancel,787679,11021 - SWIFTNET LTD,VTSPREM,8/7/15 7:33 AM,RCHAKRAD,BOP,Customer is not ready ,,,Pending,Abhilasha,,
1329,L9SX-LHXX 30N010,Cancel,787679,11021 - SWIFTNET LTD,VTSPREM,8/7/15 7:49 AM,RCHAKRAD,BOP,Customer is not ready ,,,Pending,Abhilasha,,
1330,L9SX-LHXX 1,Cancel,787679,11021 - SWIFTNET LTD,VTSPREM,8/7/15 7:56 AM,RCHAKRAD,BOP,Customer is not ready ,,,Pending,Abhilasha,,
1331,L9SX-LHXX 10,Cancel,787679,11021 - SWIFTNET LTD,VTSPREM,8/7/15 7:56 AM,RCHAKRAD,BOP,Customer is not ready ,,,Pending,Abhilasha,,
1332,N0VX-N0VX VC3S111-1TJ,Provide,788898,20399 - TATA COMMUNICATIONS (US) INC.,*N/A*,19-08-2015 18:09:21,TOPSPON,OPS,infd for patching,,,Pending,Shashank,,
1333,PYEX-XQVX 1G0001,Provide,776234,28855 - FORMULA ONE MANAGEMENT LTD,GLOBETH,20-08-2015 11:46:17,YSOMI,PM,Race on 23rd,,,Complete,Saurabh.G,,
1334,C1DX-C8TX 1S003,Cancel,794483,16447 - VODAFONE GLOBAL NETWORK LIMITED,IRU,20-08-2015 14:28:15,SAUJAIN,BOP,DOT not arrived,,15 Oct 15,Complete,Rahul,,
1335,O22X-OP9X 1G001,Cancel,791884,25700 - TATA - BB ETHERNET.,*N/A*,25-08-2015 07:26:48,AVIPATIL,,,,,Complete,Harendra,,
1336,J3SX-X46X 10G001,Reroute,792775,23888 - JASTEL NETWORK COMPANY LIMITED,GSM,25-08-2015 10:22:35,BHUSHPAT,PM,Downtime awaited,,27 Aug 15,Complete,Saurabh.A,,
1337,L78X-L78X SPVLAN0144,Cancel,791877,28855 - FORMULA ONE MANAGEMENT LTD,GLOBETH,26-08-2015 08:16:59,SAUJAIN,,,,,Pending,Harendra,,
1338,G22X-OP9X 1G0001,Cancel,791887,25700 - TATA - BB ETHERNET.,*N/A*,26-08-2015 11:08:24,KKHADE,SDCNOC,,,,Complete,Shashank,"EGX not opening, mailed",
1339,L78X-XG9X NP2,Cancel,794809,28855 - FORMULA ONE MANAGEMENT LTD,GLOBETH,27-08-2015 06:49:21,SAUJAIN,,,,,Pending,Harendra,,
1340,0S0X-TV2X VC3S0001,Provide,789322,2164 - LG UPLUS CORPORATION,VTS,27-08-2015 14:55:17,PMORASAK,BOP,Capacity occupied,,,Pending,Shashank,,
1341,IH4X-SVQX SPVLAN0015,Provide,791626,36082 - LINKEDIN TECHNOLOGY INFORMATION PRIVATE LI,GLOBETH,28 Aug 15,PPRABHUD,,Config complted . Testing going on ,,,Complete,Saurabh.G,,
1342,B44X-LDNX SPVLAN0002,Provide,761027,26197 - BRITISH SKY BROADCASTING LIMITED,GLOBETH,28 Aug 15,PPRABHUD,,Requested for DT,,,Pending,Harendra,,
1343,1JSX-1JSX 1G0009,Provide,763481,24098 - JAGUAR LAND ROVER LIMITED,GLOBETH,1 Sep 15,YSOMI,,NID Configuration,,,Complete,Saurabh.G,,
1344,SVWX-SVWX SPVLAN0150,Provide,791618,36082 - LINKEDIN TECHNOLOGY INFORMATION PRIVATE LI,GLOBETH,03-09-2015 06:58:25,PPRABHUD,,Config complted . Testing going on ,,,Complete,Saurabh.G,,
1345,12MX-LDNX 64S002,Reroute,786362,24275 - MAIN ONE CABLE COMPANY LIMITED,IRU,03-09-2015 10:14:00,AKARMUR,PM,Downtime awaited,,4 Sep 15,Complete,Saurabh.A,,
1346,W1UX-YV8X 100M0001,Provide,787811,24964 - SINGTEL GLOBAL (INDIA) PVT. LTD.,GLOBETH,03-09-2015 13:07:16,PPRABHUD,,LL pending,,,Complete,Amol,,
1347,09EX-SVQX 100M003,Cancel,795953,27726 - ELECTRONIC ARTS ASIA PACIFIC PTE LTD,GLOBETH,03-09-2015 13:09:34,SAUJAIN,SDCNOC,,24th Sept2015,,Complete,Amol,,
1348,7UWX-HK2X ETS001,Cancel,796148,29343 - COMMERZBANK AG,GLOBETH,08-09-2015 08:18:14,SAUJAIN,,DOT:30th Sept,,,Complete,Amol,,
1349,TTTX-TTTX 24N314,Reroute,768384,918 - TATA COMMUNICATIONS (CANADA) LTD.,*N/A*,09-09-2015 13:14:24,AVIPATIL,OPS,,,,Complete,Saurabh.A,,
1350,0BXX-W1UX 100M0001,Provide,795310,26197 - BRITISH SKY BROADCASTING LIMITED,GLOBETH,09-09-2015 14:09:56,PPRABHUD,,DT awaited,,,Pending,Amol,,
1351,MMBX-SVWX VC3S0001,Provide,737437,20840 - PCCW GLOBAL LIMITED,VTS,10-09-2015 06:47:47,ANVERMA,BOP,,,,Pending,Rohan,reverted on mail for more clarification of requirement,
1352,MMBX-SVWX VC3S0002,Provide,737437,20840 - PCCW GLOBAL LIMITED,VTS,10-09-2015 06:48:10,ANVERMA,BOP,,,,Pending,Rohan,reverted on mail for more clarification of requirement,
1353,AVWX-AVXX 10G003,Cancel,796768,7136 - NTT AMERICA,GSM,10-09-2015 12:21:24,SAUJAIN,PM,Partially terminated,DOT: 30th Sept’15.,7 Oct 15,Complete,Saurabh.A,,
1354,N99X-UBQX IPTTDM0001,Cancel,796381,25016 - IMETRIK SOLUTIONS INC.,GSM,11-09-2015 10:50:15,RNISTANE,SDCNOC,,15th  Nov 2015,16 Nov 15,Complete,Saurabh.A,,
1355,B44X-XT0X ETS564,Cancel,796738,19704 - TELUS COMMUNICATIONS COMPANY,GLOBETH,11-09-2015 11:22:01,SAUJAIN,SDCNOC,,"DOT Oct 8th,2015",9 Oct 15,Complete,Saurabh.A,,
1356,17RX-N99X IPTTDM0001,Cancel,796360,25016 - IMETRIK SOLUTIONS INC.,GSM,11-09-2015 12:48:41,RNISTANE,SDCNOC,,15th  Nov 2015,17 Nov 15,Complete,Rahul,,
1357,SVQX-X0KX 1G0001,Provide,794610,35207 - FORD MOTOR COMPANY,GLOBETH,14-09-2015 07:49:58,PPRABHUD,,,,,Complete,Saurabh.G,,
1358,B44X-MUMX 16S001,Provide,795999,25700 - TATA - BB ETHERNET.,*N/A*,14-09-2015 08:19:51,AVIPATIL,OPS,Patching Pending,,16 Sep 15,Complete,Saurabh.A,,
1359,MLNX-MTTX VC4S001,Reroute,796890,918 - TATA COMMUNICATIONS (CANADA) LTD.,*N/A*,14-09-2015 13:37:48,SUDSHIND,,,,,Complete,Amol,,
1360,H99X-H99X 10G012,Provide,792696,26211 - TATA - BB IP4755,*N/A*,14-09-2015 13:45:26,KKHADE,Engg,IPNOC have to check NO TX,,6 Nov 15,Complete,Rahul,,
1361,594X-LDNX 1G0001,Provide,790625,7343 - EXPONENTIAL-E LIMITED,ENNI,14-09-2015 14:43:43,PPRABHUD,,,,,Complete,Saurabh.G,,
1362,6L8X-LDNX 4S0001,Provide,789091,35590 - MORGAN STANLEY ADVANTAGE SERVICES PRIVATE ,GSM,15-09-2015 09:52:00,BHUSHPAT,PM,Downtime awaited,,18 Sep 15,Complete,Saurabh.A,,
1363,B44X-FR1X SPVLAN0002,Provide,796472,24470 - MASERGY COMMUNICATIONS INC.,GLOBETH,15-09-2015 10:47:32,PPRABHUD,,Testing is in progress,,,Complete,Harendra,,
1364,974X-M3HX 100M0001,Reroute,791895,24883 - BORWOOD LTD,GLOBETH,15-09-2015 14:07:28,PPRABHUD,,,,,Complete,Amol,,
1365,DDWX-L78X SPVLAN0001,Cancel,796087,26980 - DEUTSCHE BANK AG DUBAI (DIFC) BRANCH,GLOBETH,15-09-2015 14:20:43,SAUJAIN,SDCNOC,,31-10-2015,,Complete,Amol,,
1366,N75X-NTOX 100G001,Provide,713396,25062 - TATA - BB IP6453,*N/A*,16-09-2015 12:07:52,KKHADE,BOP,Crammer correction require.,,6 Nov 15,Complete,Rahul,,
1367,IH4X-SVQX SPVLAN0016,Provide,797877,25700 - TATA - BB ETHERNET.,*N/A*,16-09-2015 14:22:32,AVIPATIL,,POM Raised on 14th OCT 10-12 GMT,,,Complete,Harendra,,
1368,C99X-KDBX BVID2999,Provide,797892,25700 - TATA - BB ETHERNET.,*N/A*,16-09-2015 15:05:16,AVIPATIL,,Testing is in progress,,,Complete,Harendra,,
1369,AUDX-IP9X 10G002,Reroute,778946,20399 - TATA COMMUNICATIONS (US) INC.,*N/A*,16-09-2015 20:16:44,TNJYKEP,,,,,Complete,Amol,,
1370,KV8X-TV2X 192.700THZ004LR4,Provide,798146,20474 - TATA COMMUNICATIONS INTERNATIONAL PTE. LTD,*N/A*,18-09-2015 06:08:14,AKARMUR,BOP,Unable to activate HDU,,,Complete,Saurabh.G,,
1371,EWSX-S9AX OTS000002,Cancel,796694,26979 - VODAFONE ENTERPRISE REGIONAL BUSINESS SING,GSM,18-09-2015 07:00:13,PRATPAND,SDCNOC,,03/10/2015,9 Oct 15,Complete,Saurabh.A,,
1372,2JSX-2JSX 1G0009,Provide,763483,24098 - JAGUAR LAND ROVER LIMITED,GLOBETH,18-09-2015 14:06:32,YSOMI,,,,,Complete,Amol,,
1373,JJ2X-WYNX 64S0002,Provide,788582,28192 - OMANI QATARI TELECOMMUNICATIONS COMPANY SA,GSM,18-09-2015 14:34:45,SANDEEPJ,SDCNOC,"reverted to BOP,Sandeep",,,Pending,Abhilasha,,
