Order Id,Scenario Type,Order Type,Order Status,Task Name,Originator Name,Originator Group Id,Service Id,Service Impacting,Order creation Date,Rejected,Assigned User,Assigned Group,Task Opened On,
NCCM_51309,NORMAL,BINCCM,CLOSED,,bpm.wasadmin,IP-Field-Ops-Ahmedabad,,No,06-12-2015 02:57,No,,,,
NCCM_51310,NORMAL,URIGPSNCCM,CLOSED,,bpm.wasadmin,IP-Field-Ops-Ahmedabad,06dec,No,06-12-2015 03:18,No,,,,
NCCM_51321,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,1234,No,06-12-2015 09:04,No,,CM-IP-Enterprise,CM-IP-Enterprise,06-12-2015 12:25
NCCM_51323,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,12345,No,06-12-2015 09:11,No,,CM-IP-Enterprise,CM-IP-Enterprise,06-12-2015 09:12
NCCM_51326,NORMAL,URIGPSNCCM,IN PROGRESS,NCCM_UR_IGP_VerifyCRSAAccess,paresh.pawar,SOC-IP,1234,No,06-12-2015 09:14,No,,SA-ACCESS,SA-ACCESS,06-12-2015 09:15
NCCM_51327,NORMAL,URIGCCNCCM,IN PROGRESS,NCCM_UR_IGC_RegularizeConfig,paresh.pawar,SOC-IP,1234,No,06-12-2015 09:16,No,,CM-IP-Enterprise,CM-IP-Enterprise,06-12-2015 09:18
NCCM_51329,NORMAL,PINCNCCM,IN PROGRESS,NCCM_setCLRErrorTask,singh.amit,ESOC,TestSanity,No,06-12-2015 09:51,No,ploni,Provisioning-Network,Provisioning-Network,06-12-2015 10:01
NCCM_51330,NORMAL,URINNCCM,IN PROGRESS,NCCM_UR_IN_UpdateCramer,nitin.dabhade,ESOC,44100263694,No,06-12-2015 10:02,No,,Provisioning-Network,Provisioning-Network,06-12-2015 10:04
NCCM_51332,NORMAL,URINNCCM,IN PROGRESS,NCCM_UR_IN_ReviewCR,singh.amit,ESOC,TestSanity,No,06-12-2015 10:27,No,,ESOC,ESOC,06-12-2015 10:35
NCCM_51334,CEASE,PITGISNCCM,Ceasing,UndoNCCM_PITGIS_AnalyzeRequestAndSchedule,debasish.das,SOC-IP,Test,No,06-12-2015 10:50,No,,Provisioning-Network,Provisioning-Network,09-12-2015 18:03
NCCM_51334,CEASE,PITGISNCCM,Ceasing,UndoNCCM_PITGIS_RaiseChangeRequest,debasish.das,SOC-IP,Test,No,06-12-2015 10:50,No,,SOC-IP,SOC-IP,09-12-2015 18:02
NCCM_51334,CEASE,PITGISNCCM,Ceasing,UndoNCCM_PITGIS_GenerateNewCLR,debasish.das,SOC-IP,Test,No,06-12-2015 10:50,No,,Provisioning-Network,Provisioning-Network,09-12-2015 18:06
NCCM_51338,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ScheduleBulkMigration,hemant.pawar,Provisioning-Network,,No,06-12-2015 12:19,No,,Provisioning-Network,Provisioning-Network,06-12-2015 12:20
NCCM_51340,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,07-12-2015 10:56,No,,Provisioning-Network,Provisioning-Network,09-12-2015 01:56
NCCM_51342,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,07-12-2015 11:21,No,,Provisioning-Network,Provisioning-Network,16-12-2015 21:51
NCCM_51343,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,07-12-2015 11:24,No,,Provisioning-Network,Provisioning-Network,11-12-2015 01:52
NCCM_51344,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,AFating,Provisioning-Network,,No,07-12-2015 11:35,No,,Provisioning-Network,Provisioning-Network,19-01-2016 11:04
NCCM_51345,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,07-12-2015 12:08,No,,Provisioning-Network,Provisioning-Network,09-12-2015 15:22
NCCM_51349,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,07-12-2015 12:48,No,,Provisioning-Network,Provisioning-Network,07-12-2015 18:12
NCCM_51350,NORMAL,URIGPSNCCM,IN PROGRESS,NCCM_UR_IGP_VerifyCRSAAccess,paresh.pawar,SOC-IP,091NOID623008990054,No,07-12-2015 12:49,No,,SA-ACCESS,SA-ACCESS,07-12-2015 12:51
NCCM_51351,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,07-12-2015 12:53,No,,Provisioning-Network,Provisioning-Network,07-12-2015 16:02
NCCM_51353,CEASE,URIGCCNCCM,Ceasing,UndoNCCM_VerifyCR,paresh.pawar,SOC-IP,091NOID623008990054,No,07-12-2015 13:06,No,,SOC-IP,SOC-IP,07-12-2015 13:11
NCCM_51355,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,07-12-2015 13:09,No,,Provisioning-Network,Provisioning-Network,10-12-2015 08:03
NCCM_51357,NORMAL,URIGCCNCCM,IN PROGRESS,NCCM_UR_IGC_RegularizeConfig,paresh.pawar,SOC-IP,091NOID623008990054,No,07-12-2015 13:11,No,,CM-IP-Enterprise,CM-IP-Enterprise,07-12-2015 13:16
NCCM_51358,NORMAL,BINCCM,CLOSED,,parag.potdar,IP-Field-Ops-Mumbai,,No,07-12-2015 17:44,No,,,,
NCCM_51359,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,07-12-2015 18:05,No,,Provisioning-Network,Provisioning-Network,08-12-2015 12:27
NCCM_51361,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,07-12-2015 18:29,No,,Provisioning-Network,Provisioning-Network,07-12-2015 18:53
NCCM_51362,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,07-12-2015 18:41,No,,Provisioning-Network,Provisioning-Network,08-12-2015 12:45
NCCM_51363,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,07-12-2015 19:15,No,,Provisioning-Network,Provisioning-Network,07-12-2015 19:51
NCCM_51364,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,091BENG623009499504,No,08-12-2015 07:49,No,,CM-IP-Enterprise,CM-IP-Enterprise,08-12-2015 07:50
NCCM_51365,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,091BENG623009499539,No,08-12-2015 07:50,No,,CM-IP-Enterprise,CM-IP-Enterprise,08-12-2015 07:52
