CUSTOMER_NAME,CUID,CUSTOMER_REF,ACCOUNT_NO,SERVICE_TYPE,COPF_ID,ORDER_TYPE ,OLD_COPF_ID,OPPORTUNITY_ID,SERVICE_ID,VIZNET_CIRCUIT_ID,COMMISSION_DATE ,TERMINATION_DATE ,CIRCUIT_SPEED,ACTION_TYPE,CURRENT ORDER STATUS,CIRCUIT STATUS,BSO_PROVIDER,BSO_ARRANGED_BY,INTERFACE,UNFR,BILLING_TYPE,SALES_PERSON_NAME,CONTACT PERSON,PHONE NO,EMAIL ID,PINCODE,CUSTOMER_ A_END,CUSTOMER_B_END,A_END_ ADDRESS,B_END_ADDRESS,COPF_VETTING_DATE,OPPORTUNITY_DATE,RFS DATE,CREATED BY,PSR Number,PSR Type,TASK_NUMBER,TASK_STATUS,ITEM_STAGE,ITEM_SUB_STAGE,ITEM_SUB_STAGE_DESCRIPTION,TASK READY DATE,ACTUAL_RELEASE_DATE,TASK READY DATE(New),ACTUAL_COMPLETION_DATE,WORK_QUEUE_ID,GROUP_NAME,PROGRAM MANAGER(M6),PROGRAM_MANAGER(POS),GINVOICE_DATE,ORDER_BOOKING_DATE,ORDER_BOOKING_DATE - OPPORTUNITY_DATE,GINVOICE_DATE-OPPORTUNITY_DATE,INVOICE_NUM,INVOICE_DATE,CURRENCY_CODE,OTC,ARC,MRC,Total _Order_Value,End MUX Node IP,End MUX Node Name,Jeopardy,Note,Task Status Accept,PSR_GENERATION_DATE,Last Mile Provider,B End Bso,Remarks,TAT,OLD_COPF(Latest),Customer Segment,SECS_ID,Tiger ID,International Crammer ID,NNI Identifier,DMS ID,Legal_Entity,Identifier(Partial Component ),LBT Number,TIN Number,IZO Private,Cloud Customer Ref number,Cloud Provider,Cloud Type,Parent Id,Parent Service Name,COPF_ID,Bifurcation Flag
7123,106903,7123_ENT_TIP*001,NB036005,GVPN,427450,E2E,24P220812,920217,S_22156292091,V_22156292091,15-Jan-2013,21-May-2016,2 Mbps,TERMINATE,Termination In Progress,Termination In Progress,MAN,VSNL,10-Base-T,No,Non-Billable,,International Contact,9999999999/9999999999,a@a.com,999999,Mumbai,Mumbai,Mumbai Mumbai ,"Backbay Backbay R/S, Backbay Reclamation, Cuf-Parade, Mumbai 400001 ",,29-Feb-2016,21-May-2016,SDPUNE,2260702,SERVICE,25349175,Ready,Provisioning,TERMAP,Termination Of Mapping,29-Feb-2016 05:02:05 . PM,29-Feb-2016 05:09:13 . PM,29-Feb-2016 11:39:12 . AM,,AUTOTEST,AUTO_USER,Tina Chaterjee,Tina Chaterjee,,,,,,,INR,0,0,0,0,Not Available,,,,NEW,29-Feb-2016 10:32:05 . PM,MAN,MAN,,60 Day : 0 Hr,24P220812,Enterprise,7123,,NOT AVAILABLE,,4d00272e8009b80b,Tata Communications International Pte. Ltd,NA,,,No,,,,,,427450,Non-Portal Order
7123,106903,7123_SP_TIP*001,NB130348LR,GVPN,422072,E2E,,911366,S_091BANG623014352955,,,,3 Gbps,NEW,Under Provisioning,Commissioning In Progress(New-Order),MAN,VSNL,Gig Ethernet,No,Non-Billable,,International Contact,9999999999/9999999999,a@a.com,999999,Bangalore,Bengaluru,T Systems Node 1st & 2nd Flr VSB N0 2 KEB Layout Sanjay Nagar Main Road Geddalahalli ,VSBNO.2 KEB LAYOUT Sanjay Nagar Main Road Geddalahalli,,01-Feb-2016,01-May-2016,SDPUNE,2270747,SERVICE,25512039,Ready,Provisioning,CKTMAP,Circuit Mapping,07-Mar-2016 06:29:56 . PM,24-Mar-2016 05:52:37 . PM,24-Mar-2016 12:22:37 . PM,,AUTOTEST,AUTO_USER,Sushant Jangam,Sushant Jangam,,,,,,,INR,0,0,0,0,172.23.218.73,BGLR_VSBIDC2_02,,pls use-bg-me01-hpe01:Lag-2' bg-me01-aggr-hsw01:xe-3/1/0,REJ,08-Mar-2016 08:10:01 . PM,MAN,MAN,,1 Day : 0 Hr,,Wholesale,7123,,,,4d00272e8009b8e8,Tata Communications International Pte. Ltd,NA,,,No,,,,1577983,Global VPN,422072,Non-Portal Order
15498,107640,15498_SP_TSP*001,POSACC115312LR,GVPN,384853,E2E,,862841,S_091COCH623012696669,,,,30 Mbps,NEW,Under Provisioning,Commissioning In Progress(New-Order),MAN,VSNL,Fast Ethernet,No,Billable,,,,,,Cochin,Ernakulam,"Wipro c/o Nokia Siemens Networks Infopark Special Economic Zone,Tower S1,1st Floor,B Wing,MSR Room S Shan,Kusumagiri (PO,Kakkanad) ","Tata Communications Limited,VSB Tata Communications Limited, NEAR CIVIL STATION, Kakkanad, Thrikkakara,",,09-Jul-2015,31-Mar-2016,SDPUNE,2261843,SERVICE,25367994,Ready,Provisioning,CKTMAP,Circuit Mapping,01-Mar-2016 03:28:15 . PM,26-Mar-2016 04:58:04 . PM,24-Mar-2016 09:57:30 . AM,,SDNOC,VSD TEAM,Sushant Jangam,Sushant Jangam,01-Mar-2016,,,236,,,USD,2900,56384,4457,56384,172.23.70.179,COCH_WIPROS1_01,,"As per CLR, mux and switch are in different floor please check with that",REJ,12-Mar-2016 02:15:25 . AM,MAN,MAN,,1 Day : 0 Hr,,Wholesale,15498,,,,4d00272e8009b49a ,"Tata Communications (Spain), S.L.",NA,,,No,,,,,,384853,Non-Portal Order
17684,183928,17684_ENT_TAM*001,INT001304,IPL,393211,E2E,352327;66P040711,873463,S_10212143262068,V_10212143262068,16-Jan-2015,,10 Gbps,ALTER SERVICE,Under Provisioning,Active(Change-Order),,VSNL,"10 Gig-E LAN Phy,OPTICAL",,Billable,,International Contact,9999999999/9999999999,a@a.com,999999,Portland,Chiba,Portland Portland ,Chiba Chiba ,,25-Aug-2015,10-Sep-2015,SDPUNE,2039069,SERVICE,22077539,Ready,Provisioning,CKTMAP,Circuit Mapping,25-Aug-2015 06:28:25 . PM,21-Mar-2016 07:16:05 . PM,21-Mar-2016 01:46:04 . PM,,AUTOTEST,AUTO_USER,Deepak Bhatt,Deepak Bhatt,,,,,TAM0316019050,06-Mar-2016,USD,5000,208616,16968,208616,,,,,NEW,22-Mar-2016 12:43:10 . AM,,,,1 Day : 0 Hr,,Enterprise,17684,795139,GE3-GP0-NP3,,4d00272e80093cd5 ,Tata Communications (America) Inc.,NA,,,,,,,,,393211,Non-Portal Order
17684,183928,17684_ENT_TAM*001,INT001304,IPL,393212,E2E,352325;59P040711,873464,S_10212143262061,V_10212143262061,16-Jan-2015,,10 Gbps,ALTER SERVICE,Under Provisioning,Active(Change-Order),,VSNL,"10 Gig-E LAN Phy,OPTICAL",,Billable,,International Contact,9999999999/9999999999,a@a.com,999999,Portland,Chiba,Portland Portland ,Chiba Chiba ,,25-Aug-2015,01-Sep-2015,SDPUNE,2039074,SERVICE,22077609,Ready,Provisioning,CKTMAP,Circuit Mapping,25-Aug-2015 06:32:03 . PM,21-Mar-2016 07:23:05 . PM,21-Mar-2016 01:53:05 . PM,,AUTOTEST,AUTO_USER,Deepak Bhatt,Deepak Bhatt,,,,,TAM0316019050,06-Mar-2016,USD,5000,321116,26343,321116,,,,correction,NEW,22-Mar-2016 12:51:03 . AM,,,,1 Day : 0 Hr,,Enterprise,17684,795140,GE3-GP0-NP2,,4d00272e80093cd5 ,Tata Communications (America) Inc.,NA,,,,,,,,,393212,Non-Portal Order
17684,183928,17684_ENT_TAM*001,INT001304,IPL,393215,E2E,352331;41P130406,873468,S_81000314344481,V_81000314344481,16-Jan-2015,,10 Gbps;STM64 Mbps,ALTER SERVICE,Under Provisioning,Active(Change-Order),,,,,Billable,,International Contact,9999999999/9999999999,a@a.com,999999,Portland,Chiba,Portland Portland ,Chiba Chiba ,,25-Aug-2015,10-Sep-2015,SDPUNE,2039082,SERVICE,22077721,Ready,Provisioning,CKTMAP,Circuit Mapping,25-Aug-2015 06:34:25 . PM,21-Mar-2016 07:21:06 . PM,21-Mar-2016 01:51:04 . PM,,AUTOTEST,AUTO_USER,Deepak Bhatt,Deepak Bhatt,,,,,TAM0316019050,06-Mar-2016,USD,5000,208616,16968,208616,,,,,NEW,22-Mar-2016 12:48:20 . AM,,,,1 Day : 0 Hr,,Enterprise,17684,795141,Not Available,,4d00272e80093cd5 ,Tata Communications (America) Inc.,NA,,,,,,,,,393215,Non-Portal Order
17684,183928,17684_ENT_TAM*001,INT001304,IPL,393217,E2E,267P080307;352329,873470,S_1055114393980,V_1055114393980,16-Jan-2015,,10 Gbps;STM64 Mbps,ALTER SERVICE,Under Provisioning,Active(Change-Order),,,,,Billable,,International Contact,9999999999/9999999999,a@a.com,999999,Portland,Chiba,Portland Portland ,Chiba Chiba ,,25-Aug-2015,10-Sep-2015,SDPUNE,2039086,SERVICE,22077778,Ready,Provisioning,CKTMAP,Circuit Mapping,25-Aug-2015 06:37:11 . PM,21-Mar-2016 07:30:07 . PM,21-Mar-2016 02:00:05 . PM,,AUTOTEST,AUTO_USER,Deepak Bhatt,Deepak Bhatt,,,,,TAM0316019050,06-Mar-2016,USD,5000,208616,16968,208616,,,,,NEW,22-Mar-2016 12:57:18 . AM,,,,1 Day : 0 Hr,,Enterprise,17684,795143,9GE-PG9-NP1,,4d00272e80093cd5 ,Tata Communications (America) Inc.,NA,,,,,,,,,393217,Non-Portal Order
17684,183928,17684_ENT_TAM*001,INT001304,IPL,393261,E2E,270P080307;352330,873512,S_1055114393983,V_1055114393983,16-Jan-2015,,10 Gbps;STM64 Mbps,ALTER SERVICE,Under Provisioning,Active(Change-Order),,,,,Billable,,International Contact,9999999999/9999999999,a@a.com,999999,Portland,Chiba,Portland Portland ,Chiba Chiba ,,25-Aug-2015,10-Sep-2015,SDPUNE,2039320,SERVICE,22082391,Ready,Provisioning,CKTMAP,Circuit Mapping,25-Aug-2015 08:35:37 . PM,21-Mar-2016 06:30:03 . PM,21-Mar-2016 01:00:02 . PM,,AUTOTEST,AUTO_USER,Deepak Bhatt,Deepak Bhatt,,,,,TAM0316019050,06-Mar-2016,USD,5000,208616,16968,208616,,,,,NEW,21-Mar-2016 11:48:37 . PM,,,,1 Day : 0 Hr,,Enterprise,17684,795172,9GE-PG9-NP2,,4d00272e80093cd5 ,Tata Communications (America) Inc.,NA,,,,,,,,,393261,Non-Portal Order
17684,183928,17684_ENT_TAM*001,INT001304,IPL,395693,E2E,352323;56P040711,876751,S_10212143262058,V_10212143262058,16-Jan-2015,,10 Gbps,ALTER SERVICE,Under Provisioning,Active(Change-Order),,VSNL,"10 Gig-E LAN Phy,OPTICAL",,Billable,,International Contact,9999999999/9999999999,a@a.com,999999,Portland,Chiba,Portland Portland ,Chiba Chiba ,,08-Sep-2015,30-Sep-2015,SDPUNE,2051656,SERVICE,22266082,Ready,Provisioning,CKTMAP,Circuit Mapping,08-Sep-2015 12:21:19 . PM,21-Mar-2016 07:27:06 . PM,21-Mar-2016 01:57:05 . PM,,AUTOTEST,AUTO_USER,Deepak Bhatt,Deepak Bhatt,,,,,TAM0316019050,06-Mar-2016,USD,5000,321116,26343,321116,,,,,NEW,22-Mar-2016 12:54:44 . AM,,,,1 Day : 0 Hr,,Enterprise,17684,795138,GE3-GP0-NP1,,4d00272e80094571,Tata Communications (America) Inc.,NA,,,,,,,,,395693,Non-Portal Order
21005,106760,21005_SP_TDU*001,INT002934,GVPN,426360,E2E,6P100913,918358,S_44002032316179,V_44002032316179,06-Dec-2013,,15 Mbps,HOT UPGRADE,Under Provisioning,Active(Change-Order),,VSNL,Fast Ethernet,No,Billable,,International Contact,9999999999/9999999999,a@a.com,999999,Dublin,Dublin,"3010 Lake Drive, Citywest Business Campus, Dublin 24, Ireland  ","EuNetworks, DEG, Northwest Business Park, Ballycoolin, Dublin 15. ",,24-Feb-2016,05-May-2016,SDPUNE,2253585,COMPONENT,25253439,Ready,Provisioning,LMINTEST,Last Mile International Testing,24-Feb-2016 02:33:29 . PM,22-Mar-2016 05:41:45 . PM,22-Mar-2016 12:11:39 . PM,,SDNOC,VSD TEAM,Nikunj Gala,Nikunj Gala,,,,,TDU0316002325,06-Mar-2016,USD,0,51931.08,4327.59,51931.08,,,,,GW CHG,22-Mar-2016 11:11:30 . PM,,,,1 Day : 0 Hr,6P100913,Wholesale,21005,816693,1W7X-BH9X NP1,No,4d00272e8009b041,Tata Communications Deutschland GmbH,,,,No,,,,,,426360,Non-Portal Order
